,video,start,end,subtitle,include
650,IuVo4fnpLC8,"00:05:36,639","00:05:38,720",mitch mcconnell began systematically,True
651,IuVo4fnpLC8,"00:15:07,760","00:15:09,440",nothing should be taken lightly here,True
652,IuVo4fnpLC8,"00:20:22,320","00:20:24,159",voters in some of the least populous,True
653,IuVo4fnpLC8,"00:08:35,919","00:08:38,159",as they are suggesting there first take,True
654,IuVo4fnpLC8,"00:02:18,080","00:02:19,920",should they confirm trump's nominee,True
655,IuVo4fnpLC8,"00:18:17,520","00:18:18,640",states adopt it,False
656,IuVo4fnpLC8,"00:04:35,759","00:04:37,840",trump wants marvel's to bob woodward,True
657,IuVo4fnpLC8,"00:10:16,560","00:10:17,040",you,False
658,IuVo4fnpLC8,"00:20:27,679","00:20:28,480",democracy,False
659,IuVo4fnpLC8,"00:00:59,120","00:01:01,199",preserving daca to striking down an,True
660,IuVo4fnpLC8,"00:07:03,120","00:07:05,599",donkey who urine at sunset and i have to,True
661,IuVo4fnpLC8,"00:19:08,480","00:19:10,480",which we've argued before we should,True
662,IuVo4fnpLC8,"00:12:23,680","00:12:25,600",change we've argued before that the,True
663,IuVo4fnpLC8,"00:05:48,720","00:05:50,479",nicholas cage the declaration of,True
664,IuVo4fnpLC8,"00:00:44,559","00:00:46,320",that is young for a supreme court,True
665,IuVo4fnpLC8,"00:04:01,599","00:04:03,920",addressed so tonight let's talk about,True
666,IuVo4fnpLC8,"00:17:52,240","00:17:53,840",cooperation or indeed,True
667,IuVo4fnpLC8,"00:14:58,800","00:15:00,560",outweigh the potential for a court with,True
668,IuVo4fnpLC8,"00:02:46,879","00:02:47,920",points of view,False
669,IuVo4fnpLC8,"00:05:16,560","00:05:17,360",anything as,False
670,IuVo4fnpLC8,"00:09:56,640","00:09:59,680",so the fact is when barrett is confirmed,True
671,IuVo4fnpLC8,"00:18:55,200","00:18:56,080",obviously,False
672,IuVo4fnpLC8,"00:19:58,480","00:20:00,880",constantly shifting and granting dc and,True
673,IuVo4fnpLC8,"00:20:12,400","00:20:14,000",it's rigged in a way that has allowed a,True
674,IuVo4fnpLC8,"00:20:28,480","00:20:31,280",it's a travesty we're at the end,True
675,IuVo4fnpLC8,"00:11:28,480","00:11:30,399",makes it pretty clear that for trump,True
676,IuVo4fnpLC8,"00:02:12,400","00:02:14,080",time is amazing,True
677,IuVo4fnpLC8,"00:09:52,480","00:09:54,880",you truly are an inspiration to hispanic,True
678,IuVo4fnpLC8,"00:01:34,479","00:01:36,640",four years from now we've still got an,False
679,IuVo4fnpLC8,"00:15:43,839","00:15:46,560",now as for the presidency we have to get,True
680,IuVo4fnpLC8,"00:12:21,760","00:12:23,680",to use it to make significant structural,True
681,IuVo4fnpLC8,"00:14:51,680","00:14:53,440",never-ending cycle of both parties doing,True
682,IuVo4fnpLC8,"00:04:26,000","00:04:27,440",at kfc we promise,True
683,IuVo4fnpLC8,"00:07:13,360","00:07:15,919",i will think of that donkey who you're,True
684,IuVo4fnpLC8,"00:07:46,080","00:07:48,319",a mandate to do exactly what they're,True
685,IuVo4fnpLC8,"00:08:11,120","00:08:13,919",do i do not like that man ted cruz,True
686,IuVo4fnpLC8,"00:05:42,560","00:05:44,560",could fill the seats later so obama,True
687,IuVo4fnpLC8,"00:20:14,000","00:20:15,840",party without popular support,True
688,IuVo4fnpLC8,"00:11:36,240","00:11:38,160",angry white people wearing red hats,True
689,IuVo4fnpLC8,"00:17:40,240","00:17:41,440",steam a decade ago,True
690,IuVo4fnpLC8,"00:20:48,480","00:20:50,159",here overnight and we won't get out of,True
691,IuVo4fnpLC8,"00:07:28,080","00:07:30,000",that has enabled them to do what they,True
692,IuVo4fnpLC8,"00:08:39,120","00:08:41,200",a democrat has won the national popular,True
693,IuVo4fnpLC8,"00:16:25,680","00:16:27,680",right and as someone who has lived,True
694,IuVo4fnpLC8,"00:11:38,160","00:11:39,920",facebook posts from undercover russian,True
695,IuVo4fnpLC8,"00:16:56,000","00:16:58,240",unacceptable and unnecessary wager that,True
696,IuVo4fnpLC8,"00:06:12,160","00:06:13,520",kavanaugh hearings because,True
697,IuVo4fnpLC8,"00:06:06,880","00:06:08,639",mcconnell's willingness to go to the map,True
698,IuVo4fnpLC8,"00:05:08,960","00:05:10,080",if you were a president,False
699,IuVo4fnpLC8,"00:15:14,959","00:15:16,480",steps that would make both the senate,True
700,IuVo4fnpLC8,"00:03:23,599","00:03:25,280",a solid majority say the winner of this,True
701,IuVo4fnpLC8,"00:11:10,959","00:11:12,720",and the democrats know it better than,False
702,IuVo4fnpLC8,"00:00:57,360","00:00:59,120",upholding the affordable care act to,True
703,IuVo4fnpLC8,"00:02:52,480","00:02:54,080",gutted the voting rights act is a,True
704,IuVo4fnpLC8,"00:06:56,319","00:06:57,440",actually is in the internet is,True
705,IuVo4fnpLC8,"00:20:57,039","00:20:59,679",fighting fire with fire is not enough,True
706,IuVo4fnpLC8,"00:04:12,959","00:04:15,200",is this man mitch mcconnell the only,True
707,IuVo4fnpLC8,"00:00:46,320","00:00:47,920",justice and look if,True
708,IuVo4fnpLC8,"00:11:42,560","00:11:44,160",selling trump coloring books that even,True
709,IuVo4fnpLC8,"00:15:03,199","00:15:04,639",for our climate health care and civil,True
710,IuVo4fnpLC8,"00:01:53,119","00:01:54,720",harvey weinstein was still producing,True
711,IuVo4fnpLC8,"00:12:41,040","00:12:42,320",hard for democrats to win a,True
712,IuVo4fnpLC8,"00:02:44,959","00:02:46,879",court which reflects a center-right,False
713,IuVo4fnpLC8,"00:11:30,399","00:11:31,760",having an additional supreme court,True
714,IuVo4fnpLC8,"00:15:10,480","00:15:12,160",there are some other steps we could take,True
715,IuVo4fnpLC8,"00:01:11,680","00:01:12,799",the president they set,True
716,IuVo4fnpLC8,"00:11:04,640","00:11:07,360",unsolicited millions of ballots that,False
717,IuVo4fnpLC8,"00:16:48,639","00:16:51,279",then president nixon even urged congress,True
718,IuVo4fnpLC8,"00:14:02,560","00:14:05,120",of expanding the supreme court by adding,True
719,IuVo4fnpLC8,"00:18:35,840","00:18:39,440",you go the books stay now for this idea,True
720,IuVo4fnpLC8,"00:15:59,600","00:16:02,320",a pretty convincing case there is a,True
721,IuVo4fnpLC8,"00:07:31,840","00:07:33,120",second major factor,True
722,IuVo4fnpLC8,"00:19:41,679","00:19:43,200",complain about their opponents going to,True
723,IuVo4fnpLC8,"00:18:07,200","00:18:09,039",they're pledging to give their electoral,False
724,IuVo4fnpLC8,"00:19:26,640","00:19:28,400",they want to expand the court,False
725,IuVo4fnpLC8,"00:05:59,039","00:06:00,479",and made him so furious he decided to,True
726,IuVo4fnpLC8,"00:18:50,559","00:18:53,360",which is a lot but need more which,True
727,IuVo4fnpLC8,"00:01:33,680","00:01:34,479",make sure that,False
728,IuVo4fnpLC8,"00:11:58,720","00:11:59,600",coloring book,False
729,IuVo4fnpLC8,"00:03:00,560","00:03:02,000",not remembering like choose your,True
730,IuVo4fnpLC8,"00:18:40,400","00:18:42,320",setting aside the legal hurdles it would,True
731,IuVo4fnpLC8,"00:16:42,399","00:16:44,320",star inside a black hole,True
732,IuVo4fnpLC8,"00:00:20,160","00:00:21,680",barrett is a favorite of religious,False
733,IuVo4fnpLC8,"00:06:34,319","00:06:36,080",he's not gonna give up he's not gonna,False
734,IuVo4fnpLC8,"00:04:20,560","00:04:23,680",crispy cheeto flavored in a warm slurry,True
735,IuVo4fnpLC8,"00:08:23,680","00:08:25,599",to see his dumb face smirking because,True
736,IuVo4fnpLC8,"00:14:46,320","00:14:48,079",the idea is to picture donald trump,True
737,IuVo4fnpLC8,"00:18:53,360","00:18:55,200",would be increasingly hard to get and,True
738,IuVo4fnpLC8,"00:17:08,400","00:17:09,360",wasn't a fan of it's,True
739,IuVo4fnpLC8,"00:14:21,440","00:14:21,920",do,False
740,IuVo4fnpLC8,"00:19:22,000","00:19:24,240",democrats believe it has to be their way,False
741,IuVo4fnpLC8,"00:12:05,920","00:12:08,000",but look let's say for the sake of,True
742,IuVo4fnpLC8,"00:07:26,160","00:07:28,080",there is a whole system underneath them,True
743,IuVo4fnpLC8,"00:10:34,480","00:10:36,000",house and both chambers of congress this,True
744,IuVo4fnpLC8,"00:02:27,200","00:02:28,879",which has more of a,False
745,IuVo4fnpLC8,"00:13:05,760","00:13:06,399",simply,False
746,IuVo4fnpLC8,"00:11:56,079","00:11:58,720",also why aren't they coloring in the,True
747,IuVo4fnpLC8,"00:12:10,160","00:12:11,920",the upcoming election the biggest,True
748,IuVo4fnpLC8,"00:00:06,000","00:00:07,839",concerns the fact that last weekend ruth,True
749,IuVo4fnpLC8,"00:02:36,879","00:02:38,560",having a liberal court,False
750,IuVo4fnpLC8,"00:19:28,400","00:19:30,240",they want to bring new states into the,False
751,IuVo4fnpLC8,"00:14:27,440","00:14:28,959",pack the court you know that means they,False
752,IuVo4fnpLC8,"00:18:42,320","00:18:43,679",almost certainly face,True
753,IuVo4fnpLC8,"00:10:07,360","00:10:08,959",choices will have been rubber-stamped,True
754,IuVo4fnpLC8,"00:10:36,000","00:10:36,880",november which,True
755,IuVo4fnpLC8,"00:03:11,599","00:03:13,680",poll after poll has shown americans,True
756,IuVo4fnpLC8,"00:13:52,880","00:13:55,040",legislation those laws are now,True
757,IuVo4fnpLC8,"00:06:46,479","00:06:48,479",and to react to what she said with don't,True
758,IuVo4fnpLC8,"00:07:40,720","00:07:42,639",currently controls both the senate and,True
759,IuVo4fnpLC8,"00:00:47,920","00:00:50,239",and almost certainly when barrett is,True
760,IuVo4fnpLC8,"00:14:05,760","00:14:08,160",it is possible the constitution doesn't,True
761,IuVo4fnpLC8,"00:06:20,479","00:06:21,520",both of them were kind of testing each,False
762,IuVo4fnpLC8,"00:13:28,480","00:13:30,160",the level of james cameron going you,True
763,IuVo4fnpLC8,"00:04:41,199","00:04:43,680",his judges and his obsession isn't just,True
764,IuVo4fnpLC8,"00:17:13,439","00:17:15,919",leaving elections up to chance miss you,True
765,IuVo4fnpLC8,"00:19:11,760","00:19:14,880",the point here is it is past time for,True
766,IuVo4fnpLC8,"00:09:33,279","00:09:35,120",white american and the average hispanic,True
767,IuVo4fnpLC8,"00:00:28,720","00:00:30,720",right trump is about to replace a,True
768,IuVo4fnpLC8,"00:10:30,959","00:10:33,200",well for democrats the first priority is,True
769,IuVo4fnpLC8,"00:01:51,759","00:01:53,119",is four years ago,True
770,IuVo4fnpLC8,"00:09:35,120","00:09:35,839",american,False
771,IuVo4fnpLC8,"00:06:24,319","00:06:26,080",and mcconnell basically says to the,False
772,IuVo4fnpLC8,"00:11:12,720","00:11:14,800",anybody else so you're going to need,False
773,IuVo4fnpLC8,"00:08:02,479","00:08:04,560",the american people elected president,False
774,IuVo4fnpLC8,"00:11:48,720","00:11:50,079",the younger kid isn't even paying,True
775,IuVo4fnpLC8,"00:17:05,120","00:17:07,120",it's leaving elections up to chance and,True
776,IuVo4fnpLC8,"00:07:36,560","00:07:38,720",of america's institutions because there,True
777,IuVo4fnpLC8,"00:16:09,360","00:16:11,120",of electing a president who has fewer,False
778,IuVo4fnpLC8,"00:02:58,640","00:03:00,560",did we all take a buzzfeed quiz that i'm,True
779,IuVo4fnpLC8,"00:10:26,480","00:10:29,040",and that brings us to our final question,True
780,IuVo4fnpLC8,"00:09:48,240","00:09:50,800",of a white person as early as,True
781,IuVo4fnpLC8,"00:09:29,440","00:09:31,760",black american only percent,True
782,IuVo4fnpLC8,"00:06:36,080","00:06:37,199",surrender,False
783,IuVo4fnpLC8,"00:04:09,840","00:04:11,840",two major factors that brought us to,True
784,IuVo4fnpLC8,"00:00:09,280","00:00:10,880",distressing enough but it's been,True
785,IuVo4fnpLC8,"00:18:15,600","00:18:17,520",but this won't take effect until enough,False
786,IuVo4fnpLC8,"00:16:27,680","00:16:29,519",through the exact hypothetical he just,True
787,IuVo4fnpLC8,"00:20:54,640","00:20:56,159",and tactic at our disposal because,True
788,IuVo4fnpLC8,"00:02:01,759","00:02:03,520",and in the past four years leonardo,True
789,IuVo4fnpLC8,"00:18:22,080","00:18:24,960",it's kind of amazing very basically if,True
790,IuVo4fnpLC8,"00:18:43,679","00:18:46,320",it would need states representing,True
791,IuVo4fnpLC8,"00:15:21,120","00:15:22,800",statehood to washington dc,True
792,IuVo4fnpLC8,"00:04:43,680","00:04:44,800",with the supreme court,True
793,IuVo4fnpLC8,"00:08:17,520","00:08:19,919",i do not like his cowboy boots i do not,True
794,IuVo4fnpLC8,"00:06:40,240","00:06:41,919",because it's easy to forget that after,True
795,IuVo4fnpLC8,"00:19:14,880","00:19:17,280",big change and perhaps that is why,True
796,IuVo4fnpLC8,"00:01:23,360","00:01:25,280",even privately said this to a group of,True
797,IuVo4fnpLC8,"00:13:19,519","00:13:20,800",would take from america,True
798,IuVo4fnpLC8,"00:16:54,880","00:16:56,000",places a large,True
799,IuVo4fnpLC8,"00:20:42,799","00:20:43,840",comprehend,False
800,IuVo4fnpLC8,"00:10:58,880","00:11:01,040",did nine justices,False
801,IuVo4fnpLC8,"00:18:24,960","00:18:26,960",enough states just pretend the electoral,True
802,IuVo4fnpLC8,"00:16:29,519","00:16:30,240",described,False
803,IuVo4fnpLC8,"00:12:43,440","00:12:46,720",supermajority and do anything meaningful,True
804,IuVo4fnpLC8,"00:09:04,080","00:09:06,640",in the senate where there are states,True
805,IuVo4fnpLC8,"00:17:23,679","00:17:26,720",you guessed it a filibuster,True
806,IuVo4fnpLC8,"00:06:13,520","00:06:15,199",immediately after christine blasey,True
807,IuVo4fnpLC8,"00:09:41,200","00:09:43,360",your representative democracy is hey,True
808,IuVo4fnpLC8,"00:20:40,720","00:20:42,799",in ways that could take a while to fully,True
809,IuVo4fnpLC8,"00:11:51,839","00:11:53,440",he's trying to will the coloring book,True
810,IuVo4fnpLC8,"00:00:26,880","00:00:28,720",the right for a generation,False
811,IuVo4fnpLC8,"00:16:11,120","00:16:12,399",votes than the fellow he's running,False
812,IuVo4fnpLC8,"00:17:00,160","00:17:00,639",time,False
813,IuVo4fnpLC8,"00:07:06,240","00:07:09,039",that is an impressively strong stream so,True
814,IuVo4fnpLC8,"00:06:53,680","00:06:54,560",quick side note,False
815,IuVo4fnpLC8,"00:18:13,760","00:18:15,600",popular vote in their state,False
816,IuVo4fnpLC8,"00:14:01,199","00:14:02,560",the more dramatic step,True
817,IuVo4fnpLC8,"00:07:57,360","00:07:58,000",republican,False
818,IuVo4fnpLC8,"00:09:24,080","00:09:25,680",representation in the senate,True
819,IuVo4fnpLC8,"00:16:16,160","00:16:18,079",which threatens to elect a man who has,False
820,IuVo4fnpLC8,"00:02:28,879","00:02:31,120",conservative bent than it's had over the,False
821,IuVo4fnpLC8,"00:07:09,039","00:07:09,599",i do,False
822,IuVo4fnpLC8,"00:13:11,279","00:13:13,839",bipartisan way democrats and republicans,False
823,IuVo4fnpLC8,"00:11:33,120","00:11:35,600",crucial to his re-election as crucial,True
824,IuVo4fnpLC8,"00:03:22,879","00:03:23,599",incidentally,False
825,IuVo4fnpLC8,"00:15:14,320","00:15:14,959",at this point,False
826,IuVo4fnpLC8,"00:04:17,120","00:04:19,280",than the kfc menu how do you want your,True
827,IuVo4fnpLC8,"00:00:10,880","00:00:12,559",compounded by the fact that just,True
828,IuVo4fnpLC8,"00:09:50,800","00:09:52,480",onwards and upwards black people,True
829,IuVo4fnpLC8,"00:08:33,919","00:08:35,360",reflective of the will of the american,True
830,IuVo4fnpLC8,"00:09:43,360","00:09:44,800",at least black people got above,True
831,IuVo4fnpLC8,"00:20:20,000","00:20:22,320",by appealing almost exclusively to white,True
832,IuVo4fnpLC8,"00:00:55,199","00:00:57,360",have been decided by just one vote from,True
833,IuVo4fnpLC8,"00:03:30,720","00:03:32,000",as mitt romney is,True
834,IuVo4fnpLC8,"00:15:51,920","00:15:52,560",idea,False
835,IuVo4fnpLC8,"00:17:19,280","00:17:21,199",away with the electoral college in,True
836,IuVo4fnpLC8,"00:20:31,280","00:20:33,120",of a generational battle and the,True
837,IuVo4fnpLC8,"00:10:24,079","00:10:25,839",wouldn't actually pass muster with,True
838,IuVo4fnpLC8,"00:14:36,800","00:14:39,519",yeah he's right he could absolutely do,True
839,IuVo4fnpLC8,"00:13:46,399","00:13:48,399",even if the democrats sweep the election,True
840,IuVo4fnpLC8,"00:13:42,800","00:13:45,519",just get it the done although i,True
841,IuVo4fnpLC8,"00:20:09,039","00:20:09,679",truth here,False
842,IuVo4fnpLC8,"00:05:02,400","00:05:05,759",obama gave us judges yeah when i,False
843,IuVo4fnpLC8,"00:01:16,400","00:01:18,560",that was always in bad faith as was,True
844,IuVo4fnpLC8,"00:20:50,159","00:20:52,240",here overnight but we must be willing,True
845,IuVo4fnpLC8,"00:06:15,199","00:06:17,039",ford's gut-wrenching testimony,True
846,IuVo4fnpLC8,"00:12:33,120","00:12:35,120",that again for structural reasons,True
847,IuVo4fnpLC8,"00:05:10,080","00:05:11,600",you would never have any federal you,False
848,IuVo4fnpLC8,"00:02:35,120","00:02:36,879",decades gotten very used to the idea of,False
849,IuVo4fnpLC8,"00:05:38,720","00:05:39,280",blocking,False
850,IuVo4fnpLC8,"00:17:00,639","00:17:02,959",which does make sense because if there's,True
851,IuVo4fnpLC8,"00:10:39,279","00:10:39,920",by no,False
852,IuVo4fnpLC8,"00:15:54,800","00:15:56,240",happened here's birch bai,True
853,IuVo4fnpLC8,"00:08:38,159","00:08:39,120",the white house,False
854,IuVo4fnpLC8,"00:10:20,240","00:10:22,079",those courts have allowed republicans to,True
855,IuVo4fnpLC8,"00:15:05,760","00:15:07,760",that is definitely worth considering,True
856,IuVo4fnpLC8,"00:03:46,640","00:03:48,319",they basically are,True
857,IuVo4fnpLC8,"00:17:57,039","00:17:59,280",have quietly signed on to an interesting,True
858,IuVo4fnpLC8,"00:08:19,919","00:08:21,199",like him when he sneezes,True
859,IuVo4fnpLC8,"00:11:18,240","00:11:20,560",okay there is a number of dark,True
860,IuVo4fnpLC8,"00:12:08,000","00:12:10,160",argument democrats do manage to sweep,True
861,IuVo4fnpLC8,"00:12:50,560","00:12:52,720",honestly seem to think that even if they,True
862,IuVo4fnpLC8,"00:19:10,480","00:19:11,760",absolutely do,False
863,IuVo4fnpLC8,"00:20:59,679","00:21:01,200",you have to fight mule piss,True
864,IuVo4fnpLC8,"00:13:50,160","00:13:50,880",filibuster,True
865,IuVo4fnpLC8,"00:06:45,840","00:06:46,479",certain,False
866,IuVo4fnpLC8,"00:12:52,720","00:12:55,040",somehow significantly get more power,True
867,IuVo4fnpLC8,"00:06:10,479","00:06:12,160",never more obvious than during the,True
868,IuVo4fnpLC8,"00:01:03,199","00:01:04,559",should those issues come before the,True
869,IuVo4fnpLC8,"00:07:11,680","00:07:13,360",every time i think of mitch mcconnell,True
870,IuVo4fnpLC8,"00:03:04,800","00:03:06,159",nation's electorate leans,True
871,IuVo4fnpLC8,"00:14:16,320","00:14:17,760",eventual blowback to that,True
872,IuVo4fnpLC8,"00:18:03,760","00:18:05,600",joined the national popular vote,False
873,IuVo4fnpLC8,"00:10:14,720","00:10:16,560",minority and if that sounds absurd to,True
874,IuVo4fnpLC8,"00:07:33,120","00:07:34,800",that got us to where we are now the,True
875,IuVo4fnpLC8,"00:09:39,040","00:09:39,600",great,False
876,IuVo4fnpLC8,"00:08:48,959","00:08:51,279",because the electoral college with its,True
877,IuVo4fnpLC8,"00:07:15,919","00:07:17,520",in at sunset,True
878,IuVo4fnpLC8,"00:11:35,600","00:11:36,240",say as,False
879,IuVo4fnpLC8,"00:13:31,440","00:13:33,920",four more avatar movies and to both of,True
880,IuVo4fnpLC8,"00:02:21,280","00:02:23,599",closer to the will of the country,True
881,IuVo4fnpLC8,"00:00:32,640","00:00:34,480",conservative justice who's been called,True
882,IuVo4fnpLC8,"00:09:59,680","00:10:01,839",a president who lost the popular vote,True
883,IuVo4fnpLC8,"00:03:13,680","00:03:15,120",favor abortion rights with,True
884,IuVo4fnpLC8,"00:15:26,959","00:15:29,199",senate's bias toward white rural voters,True
885,IuVo4fnpLC8,"00:09:27,839","00:09:29,440",together the senate gives the average,True
886,IuVo4fnpLC8,"00:13:08,880","00:13:10,079",we are as a senate,False
887,IuVo4fnpLC8,"00:16:12,399","00:16:12,959",against,False
888,IuVo4fnpLC8,"00:11:24,240","00:11:26,240",justice so they can decide,True
889,IuVo4fnpLC8,"00:07:22,560","00:07:24,800",it is a mistake to focus just on the,True
890,IuVo4fnpLC8,"00:05:41,520","00:05:42,560",republican president,True
891,IuVo4fnpLC8,"00:07:53,840","00:07:55,680",voters gave us voters have elected a,False
892,IuVo4fnpLC8,"00:11:31,760","00:11:33,120",appointment is absolutely,True
893,IuVo4fnpLC8,"00:17:32,320","00:17:34,080",abolish the electoral college,True
894,IuVo4fnpLC8,"00:19:35,919","00:19:36,720",okay,False
895,IuVo4fnpLC8,"00:12:05,200","00:12:05,920",book,False
896,IuVo4fnpLC8,"00:20:09,679","00:20:12,400",is that the system is already rigged and,True
897,IuVo4fnpLC8,"00:10:56,000","00:10:58,880",he's not even trying to hide it now we,True
898,IuVo4fnpLC8,"00:04:29,280","00:04:31,680",disrespect for a chicken's memory,True
899,IuVo4fnpLC8,"00:09:47,040","00:09:48,240",could count as,True
900,IuVo4fnpLC8,"00:16:07,600","00:16:09,360",non-plurality president,False
901,IuVo4fnpLC8,"00:03:56,560","00:03:58,000",leadership and crucially,True
902,IuVo4fnpLC8,"00:08:58,640","00:08:59,680",popular states,False
903,IuVo4fnpLC8,"00:02:57,680","00:02:58,640",center-right,True
904,IuVo4fnpLC8,"00:00:25,119","00:00:26,880",and if confirmed would move the court to,False
905,IuVo4fnpLC8,"00:03:39,840","00:03:40,400",the right,False
906,IuVo4fnpLC8,"00:16:52,639","00:16:54,880",every four years the american democracy,True
907,IuVo4fnpLC8,"00:13:02,959","00:13:05,760",that keeps the senate bipartisan right,False
908,IuVo4fnpLC8,"00:14:19,279","00:14:21,440",genius to imagine what republicans would,True
909,IuVo4fnpLC8,"00:05:50,479","00:05:51,280",independence,False
910,IuVo4fnpLC8,"00:14:23,440","00:14:24,959",government seriously,True
911,IuVo4fnpLC8,"00:14:43,519","00:14:44,639",yoga naked,True
912,IuVo4fnpLC8,"00:16:38,959","00:16:40,639",full of sentient nuclear jackhammers,True
913,IuVo4fnpLC8,"00:11:39,920","00:11:40,720",operatives and,True
914,IuVo4fnpLC8,"00:04:08,959","00:04:09,840",are basically,False
915,IuVo4fnpLC8,"00:14:48,079","00:14:49,360",doing it too,True
916,IuVo4fnpLC8,"00:11:53,440","00:11:55,519",into becoming a nintendo switch with his,True
917,IuVo4fnpLC8,"00:14:56,880","00:14:58,800",american governments now does that,True
918,IuVo4fnpLC8,"00:18:31,520","00:18:32,480",harry potter fan,True
919,IuVo4fnpLC8,"00:09:19,360","00:09:21,200",like puerto rico and washington dc where,True
920,IuVo4fnpLC8,"00:13:13,839","00:13:15,680",oh i've got an answer to that question,True
921,IuVo4fnpLC8,"00:01:36,640","00:01:41,520",opening on the supreme court,False
922,IuVo4fnpLC8,"00:13:01,360","00:13:02,959",make every decision i can,False
923,IuVo4fnpLC8,"00:00:41,440","00:00:44,559",that i make look like but trust me,True
924,IuVo4fnpLC8,"00:19:47,600","00:19:49,919",we've expanded the court before and,True
925,IuVo4fnpLC8,"00:03:15,120","00:03:17,599",support of roe v wade reaching record,True
926,IuVo4fnpLC8,"00:18:03,039","00:18:03,760",columbia,False
927,IuVo4fnpLC8,"00:15:04,639","00:15:05,760",and women's rights,True
928,IuVo4fnpLC8,"00:04:27,440","00:04:29,280",maximum flavor for you maximum,True
929,IuVo4fnpLC8,"00:03:53,439","00:03:54,640",we also got here,True
930,IuVo4fnpLC8,"00:04:00,400","00:04:01,599",just have to be,True
931,IuVo4fnpLC8,"00:00:34,480","00:00:36,719",the female antonin scalia and she could,True
932,IuVo4fnpLC8,"00:05:54,560","00:05:56,400",a brief tour of the white house and a,True
933,IuVo4fnpLC8,"00:05:58,080","00:05:59,039",trump's rise to power,True
934,IuVo4fnpLC8,"00:07:44,240","00:07:46,080",and they will argue that this gives them,True
935,IuVo4fnpLC8,"00:16:46,320","00:16:48,639",electoral college had bipartisan support,True
936,IuVo4fnpLC8,"00:10:36,880","00:10:39,279",given everything we've just discussed is,True
937,IuVo4fnpLC8,"00:01:01,199","00:01:03,199",incredibly restrictive abortion law,True
938,IuVo4fnpLC8,"00:20:00,880","00:20:02,320",puerto rico statehood or,True
939,IuVo4fnpLC8,"00:19:49,919","00:19:51,440",we've added states before,True
940,IuVo4fnpLC8,"00:09:03,200","00:09:04,080",more pronounced,False
941,IuVo4fnpLC8,"00:14:49,360","00:14:51,680",court expansion could open the door to a,True
942,IuVo4fnpLC8,"00:06:02,000","00:06:03,520",hellscape and destroy democracy as we,True
943,IuVo4fnpLC8,"00:15:00,560","00:15:01,360",barrett on it,False
944,IuVo4fnpLC8,"00:00:04,720","00:00:06,000",our main story tonight,True
945,IuVo4fnpLC8,"00:01:49,360","00:01:51,759",and just think about how long four years,True
946,IuVo4fnpLC8,"00:12:14,000","00:12:16,800",itself fixed everything or indeed,True
947,IuVo4fnpLC8,"00:20:43,840","00:20:46,559",but the next battle has to start right,True
948,IuVo4fnpLC8,"00:16:22,560","00:16:23,680",people of this country and their,False
949,IuVo4fnpLC8,"00:20:46,559","00:20:48,480",now and it will be long we didn't get,True
950,IuVo4fnpLC8,"00:11:16,560","00:11:18,240",going to be very important,False
951,IuVo4fnpLC8,"00:03:20,000","00:03:22,879",also supports medicare for all oh and,True
952,IuVo4fnpLC8,"00:19:24,240","00:19:26,640",or no way but now it's a new extreme,False
953,IuVo4fnpLC8,"00:12:55,040","00:12:56,880",the best way forward is to try and,True
954,IuVo4fnpLC8,"00:05:31,520","00:05:32,880",didn't deliberately leave those,True
955,IuVo4fnpLC8,"00:03:51,360","00:03:53,439",a little bit by bad luck and bad timing,True
956,IuVo4fnpLC8,"00:04:33,600","00:04:35,759",a single-minded focus for mcconnell,True
957,IuVo4fnpLC8,"00:13:40,480","00:13:42,160",green new deal i don't care which of you,True
958,IuVo4fnpLC8,"00:05:06,639","00:05:08,960",yeah it never happened you never had one,False
959,IuVo4fnpLC8,"00:02:08,319","00:02:10,000",no problem getting a rental car,True
960,IuVo4fnpLC8,"00:06:03,520","00:06:04,240",know it,False
961,IuVo4fnpLC8,"00:14:53,440","00:14:55,279",it which could permanently destabilize,True
962,IuVo4fnpLC8,"00:13:30,160","00:13:31,440",know what people want,True
963,IuVo4fnpLC8,"00:13:36,959","00:13:38,639",and just give us what we do want,True
964,IuVo4fnpLC8,"00:02:19,920","00:02:21,280",they'll simply be bringing the court,True
965,IuVo4fnpLC8,"00:17:41,440","00:17:43,679",mitch mcconnell said republicans need to,True
966,IuVo4fnpLC8,"00:19:07,280","00:19:08,480",supreme court justices,True
967,IuVo4fnpLC8,"00:15:40,000","00:15:41,759",the population of rhode island maine,True
968,IuVo4fnpLC8,"00:17:59,280","00:18:00,720",potential workaround,True
969,IuVo4fnpLC8,"00:18:57,600","00:18:59,120",college would be to do it,True
970,IuVo4fnpLC8,"00:17:21,199","00:17:22,799",because the legislation was ultimately,True
971,IuVo4fnpLC8,"00:17:50,000","00:17:52,240",there doesn't necessarily require his,True
972,IuVo4fnpLC8,"00:02:55,200","00:02:57,680",since when is this nation naturally,True
973,IuVo4fnpLC8,"00:13:33,920","00:13:35,200",those men i say this,True
974,IuVo4fnpLC8,"00:00:07,839","00:00:09,280",bader ginsburg died which was,True
975,IuVo4fnpLC8,"00:03:10,080","00:03:11,599",than the republicans plus,True
976,IuVo4fnpLC8,"00:07:05,599","00:07:06,240",say,False
977,IuVo4fnpLC8,"00:11:40,720","00:11:42,560",based on his campaign's online store,True
